DAG,Half,Type,Combo,CellLength,PlantRep
1,Scion,Grafted,Scion_GraftedCells,31.964,5
1,Scion,Grafted,Scion_GraftedCells,32.773,5
1,Scion,Grafted,Scion_GraftedCells,31.28,5
1,Scion,Grafted,Scion_GraftedCells,36.392,5
1,Scion,Grafted,Scion_GraftedCells,35.015,5
1,Scion,Grafted,Scion_GraftedCells,30.403,5
1,Scion,Nongrafted,Scion_NonGraftedCells,34.654,1
1,Scion,Nongrafted,Scion_NonGraftedCells,55.501,1
1,Scion,Nongrafted,Scion_NonGraftedCells,33.388,1
1,Scion,Nongrafted,Scion_NonGraftedCells,54.736,1
1,Scion,Nongrafted,Scion_NonGraftedCells,20.801,1
1,Scion,Nongrafted,Scion_NonGraftedCells,16.057,1
1,Scion,Nongrafted,Scion_NonGraftedCells,24.186,1
1,Scion,Nongrafted,Scion_NonGraftedCells,21.428,1
1,Scion,Nongrafted,Scion_NonGraftedCells,22.728,1
1,Scion,Nongrafted,Scion_NonGraftedCells,27.978,1
1,Scion,Nongrafted,Scion_NonGraftedCells,16.651,2
1,Scion,Nongrafted,Scion_NonGraftedCells,31.762,2
1,Scion,Nongrafted,Scion_NonGraftedCells,49.755,2
1,Scion,Nongrafted,Scion_NonGraftedCells,21.273,2
1,Scion,Nongrafted,Scion_NonGraftedCells,23.256,2
1,Scion,Nongrafted,Scion_NonGraftedCells,42.452,2
1,Scion,Nongrafted,Scion_NonGraftedCells,37.357,2
1,Scion,Nongrafted,Scion_NonGraftedCells,31.279,2
1,Scion,Nongrafted,Scion_NonGraftedCells,18.245,2
1,Scion,Nongrafted,Scion_NonGraftedCells,26.05,2
1,Scion,Nongrafted,Scion_NonGraftedCells,32.727,3
1,Scion,Nongrafted,Scion_NonGraftedCells,21.725,3
1,Scion,Nongrafted,Scion_NonGraftedCells,63.132,3
1,Scion,Nongrafted,Scion_NonGraftedCells,40.417,3
1,Scion,Nongrafted,Scion_NonGraftedCells,21.937,3
1,Scion,Nongrafted,Scion_NonGraftedCells,34.812,3
1,Scion,Nongrafted,Scion_NonGraftedCells,21.106,3
1,Scion,Nongrafted,Scion_NonGraftedCells,13.874,3
1,Scion,Nongrafted,Scion_NonGraftedCells,31.483,3
1,Scion,Nongrafted,Scion_NonGraftedCells,24.086,3
1,Scion,Nongrafted,Scion_NonGraftedCells,29.236,4
1,Scion,Nongrafted,Scion_NonGraftedCells,31.921,4
1,Scion,Nongrafted,Scion_NonGraftedCells,36.858,4
1,Scion,Nongrafted,Scion_NonGraftedCells,43.763,4
1,Scion,Nongrafted,Scion_NonGraftedCells,22.017,4
1,Scion,Nongrafted,Scion_NonGraftedCells,40.362,4
1,Scion,Nongrafted,Scion_NonGraftedCells,37.446,4
1,Scion,Nongrafted,Scion_NonGraftedCells,31.567,4
1,Scion,Nongrafted,Scion_NonGraftedCells,35.757,4
1,Scion,Nongrafted,Scion_NonGraftedCells,36.858,4
1,Scion,Nongrafted,Scion_NonGraftedCells,46.36,5
1,Scion,Nongrafted,Scion_NonGraftedCells,44.255,5
1,Scion,Nongrafted,Scion_NonGraftedCells,30.018,5
1,Scion,Nongrafted,Scion_NonGraftedCells,16.167,5
